DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
01/09/2019 13:30,1218,1036,All Island
01/09/2019 13:45,1246,1095,All Island
01/09/2019 14:00,1269,1137,All Island
01/09/2019 14:15,1286,1177,All Island
01/09/2019 14:30,1304,1200,All Island
01/09/2019 14:45,1321,1219,All Island
01/09/2019 15:00,1328,1261,All Island
01/09/2019 15:15,1326,1253,All Island
01/09/2019 15:30,1324,1278,All Island
01/09/2019 15:45,1322,1356,All Island
01/09/2019 16:00,1320,1285,All Island
01/09/2019 16:15,1317,1253,All Island
01/09/2019 16:30,1315,1204,All Island
01/09/2019 16:45,1313,1147,All Island
01/09/2019 17:00,1303,1105,All Island
01/09/2019 17:15,1285,998,All Island
01/09/2019 17:30,1267,938,All Island
01/09/2019 17:45,1249,973,All Island
01/09/2019 18:00,1228,945,All Island
01/09/2019 18:15,1206,945,All Island
01/09/2019 18:30,1184,1021,All Island
01/09/2019 18:45,1161,1021,All Island
01/09/2019 19:00,1054,1004,All Island
01/09/2019 19:15,1018,977,All Island
01/09/2019 19:30,982,966,All Island
01/09/2019 19:45,946,943,All Island
01/09/2019 20:00,914,897,All Island
01/09/2019 20:15,884,857,All Island
01/09/2019 20:30,855,826,All Island
01/09/2019 20:45,825,798,All Island
01/09/2019 21:00,800,820,All Island
01/09/2019 21:15,780,837,All Island
01/09/2019 21:30,759,834,All Island
01/09/2019 21:45,738,822,All Island
01/09/2019 22:00,730,841,All Island
01/09/2019 22:15,735,811,All Island
01/09/2019 22:30,739,816,All Island
01/09/2019 22:45,743,835,All Island
01/09/2019 23:00,743,892,All Island
01/09/2019 23:15,738,867,All Island
01/09/2019 23:30,733,851,All Island
01/09/2019 23:45,729,813,All Island
02/09/2019 00:00,730,824,All Island
02/09/2019 00:15,736,817,All Island
02/09/2019 00:30,743,726,All Island
02/09/2019 00:45,749,724,All Island
02/09/2019 01:00,741,754,All Island
02/09/2019 01:15,760,778,All Island
02/09/2019 01:30,779,830,All Island
02/09/2019 01:45,799,849,All Island
02/09/2019 02:00,816,904,All Island
02/09/2019 02:15,833,891,All Island
02/09/2019 02:30,849,919,All Island
